id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
62;Pipi Sosetica;Astrid Lindgen;;PAPERBACK;0;FINALIZATA;null;1.0;2023-08-19;2023-08-20;3.0;o fata orfana care se distreaza
63;Micul print;Antonie de Saint-Exupery;;PAPERBACK;156;FINALIZATA;null;1.0;2021-08-07;2021-08-07;1.0;un copil-extraterestru
64;Ingeri si demoni;Dan Brown;;PAPERBACK;0;IN_CURS_DE_CITIRE;null;0.0;2026-01-24;;0.0;
65;Pulbere de stele;Neil Gaiman;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
66;Odiseea lui Ollie;William Joyce;;PAPERBACK;242;FINALIZATA;null;1.0;2020-08-01;2020-08-02;5.0;jucarii furate de alte jucarii
67;Biblia pt Elevi;***;;PAPERBACK;0;FINALIZATA;null;1.0;2020-08-01;2020-08-02;3.0;…
68;Mica enciclopedie a Romaniei pt copii;Silviu Negut, Marius-Cristian Neacsu;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;...
69;Ce se intampla cu mine?;***;;PAPERBACK;0;FINALIZATA;null;1.0;2020-08-01;2020-08-02;5.0;pubertate
70;Michelangelo;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
71;Leonardo Da Vinci;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
72;Picasso;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
73;Van Gogh;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
74;Monet;***;;PAPERBACK;89;ABANDONATA;null;0.0;2026-01-24;;0.0;null
75;Botticelli;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
76;Goya;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
77;Grigorescu;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
78;Dali;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
79;Rafael;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
80;Tonitza;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
81;Rubens;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
82;Tiziano;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
83;Rembrandt;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
84;Berthe Morisot;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
85;Vechi maestri europeni;Viktor Lazarev;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
86;Goya;Jose Ortega y Gasset;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
87;Michelangelo;Herbert von Einem;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
88;Arta;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
89;Marele Urias Prietenos;Ronald Dalh;;PAPERBACK;0;FINALIZATA;null;1.0;2020-08-01;2020-08-02;1.0;o fata rapita de un urias
90;Hotul de carti;Markus Zusak;;PAPERBACK;571;FINALIZATA;null;1.0;2022-06-05;2022-06-06;5.0;Holocaust
