id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
131;The Secret Keeper;Kate Morton;;PAPERBACK;588;FINALIZATA;http://books.google.com/books/content?id=P-7tsgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;1.0;2023-09-17;2023-10-12;5.0;dirty secrets
132;All the bright places;Jennifer Niven;;PAPERBACK;378;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404331702i/18460392.jpg;1.0;2023-10-08;2023-10-12;4.5;sunicide
133;Aleea cu licuriri;Kristin Hannah;;PAPERBACK;0;FINALIZATA;;1.0;2023-10-08;2023-10-12;3.0;bff
134;O viata marunta;Hanya Yanagihara;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
135;Inceputuri fara sfarsit;Rebecca Yarros;;PAPERBACK;512;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1695714227i/199146521.jpg;1.0;2024-02-06;2024-02-13;2.5;disgusting romance
136;Elisabeth is missing;Emma Healey;;PAPERBACK;0;FINALIZATA;;1.0;2024-02-06;2024-02-13;3.0;
137;Ceva in apa;Catherine Steadman;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
138;Twisted Hate;Ana Huang;;PAPERBACK;452;FINALIZATA;http://books.google.com/books/content?id=eFXgEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2024-01-24;2024-01-27;4.0;smut
139;Persuasion;Jane Austen;;PAPERBACK;195;FINALIZATA;http://books.google.com/books/content?id=oAdAjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;1.0;2024-01-07;2024-01-17;4.5;romance
140;Iarna vrajitoare;Katherine Arden;fantasy;PAPERBACK;0;FINALIZATA;;1.0;2024-01-07;2024-01-17;4.5;
141;Six of Crows;Leigh Bardugo;;PAPERBACK;479;FINALIZATA;http://books.google.com/books/content?id=yhIRBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2024-03-06;2024-04-08;5.0;hoti
142;The Crooked Kingdom;Leigh Bardugo;;PAPERBACK;0;FINALIZATA;;1.0;2024-03-06;2024-04-08;5.0;hoti
143;The Cruel Prince;Holly Black;;PAPERBACK;343;FINALIZATA;http://books.google.com/books/content?id=StOqDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2024-07-13;2024-07-16;5.0;
144;The Wricked King;Holly Black;;PAPERBACK;0;FINALIZATA;;1.0;2024-07-13;2024-07-16;5.0;
145;The Queen of Nothing;Holly Black;;PAPERBACK;279;FINALIZATA;http://books.google.com/books/content?id=BTuRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2024-08-31;2024-08-31;4.5;
146;Scandalized;Ivy Owens;;PAPERBACK;320;FINALIZATA;http://books.google.com/books/content?id=h7V9EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2024-07-24;2024-07-24;4.5;smut
147;Casa Focului si a Umbrei;Sarah J. Maas;fantasy;PAPERBACK;960;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1709214024i/209306907.jpg;1.0;2024-07-20;2024-07-30;4.5;
148;Cinder;Marissa Mayer;fiction;PAPERBACK;400;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507557775i/36381037.jpg;1.0;2024-08-04;2024-08-09;5.0;
149;Scarlet;Marissa Mayer;fiction;PAPERBACK;463;FINALIZATA;http://books.google.com/books/content?id=JwKaQ6msi9MC&printsec=frontcover&img=1&zoom=1&source=gbs_api;1.0;2024-08-15;2024-08-18;5.0;
150;Cress;Marissa Mayer;fiction;PAPERBACK;552;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470057005i/13206828.jpg;1.0;2024-08-18;2024-08-27;4.0;
151;Winter;Marissa Mayer;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
152;Stars Above;Marissa Mayer;;PAPERBACK;400;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1472473049i/25689074.jpg;1.0;2025-01-06;2025-01-16;4.0;
153;Fairest;Marissa Mayer;romance;PAPERBACK;222;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589396963i/52516230.jpg;1.0;2025-01-18;2025-02-21;4.0;
154;Rezistenta;Jennifer A. Nielsen;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
155;The House of the Dead & The Gambler;F. Dostoevsky;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
156;Crime and Punishment;F. Dostoevsky;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
157;Pride and Prejudice;Jane Austen;;PAPERBACK;345;IN_CURS_DE_CITIRE;;0.0;2025-01-18;2025-02-21;0.0;
158;Bucuria Vietii;Irving Stone;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
159;Niveluri de viata;Julian Barnes;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
160;The Reappearance of Rachel Price;Holly Jackson;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
161;Five Survive;Holly Jackson;thriller;PAPERBACK;401;FINALIZATA;http://books.google.com/books/content?id=pTBpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2024-09-02;2024-09-05;3.5;thriller
162;A Midwinter Promise;Lulu Taylor;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
163;Red Queen;Victoria Aveyard;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
164;Heartless;Marissa Mayer;YA;PAPERBACK;320;FINALIZATA;http://books.google.com/books/content?id=QQXoDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2024-09-05;2024-09-09;4.5;
165;Twisted Lies;Ana Huang;YA;PAPERBACK;423;FINALIZATA;http://books.google.com/books/content?id=URusEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;1.0;2024-09-09;2024-09-10;4.5;smut
166;The Prisoner's Throne;Holly Black;YA;PAPERBACK;0;FINALIZATA;;1.0;2024-09-09;2024-09-10;4.5;
167;Castelul din nori;Kerstin Gier;romance;PAPERBACK;390;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1592232081i/54099269.jpg;1.0;2024-10-03;2024-10-28;4.0;
168;Once upon a broken hearh;Stephanie Garber;fantasy;PAPERBACK;0;FINALIZATA;;1.0;2024-10-03;2024-10-28;5.0;idk how to put it
169;Powerless;Lauren Roberts;romance;PAPERBACK;528;FINALIZATA;http://books.google.com/books/content?id=QkTAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2025-01-16;2025-01-18;5.0;
171;All the light we cannot see;Anthony Doerr;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
172;Left Overs;Stella Newman;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
173;It only happens in the movies;Lynn Painter;romance;PAPERBACK;410;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1496228354i/34564400.jpg;1.0;2024-11-21;2024-11-23;5.0;
174;The Glass Girl;Kathleen Glasgow;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
175;Fata din turn;Katherine Arden;fantasy;PAPERBACK;480;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1678862905i/60821799.jpg;1.0;2025-01-02;2025-01-05;4.5;
176;Anna Karenina;Leo Tolstoy;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
177;Viata invizibila a lui Addie LaRue;V. E. Schwab;history;PAPERBACK;512;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615891962i/57430992.jpg;1.0;2024-12-05;2024-12-30;4.5;
178;Legendarii;Tracy Deonn;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
179;Magia sangelui;Tracy Deonn;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
180;Cat timp infloresc lamaii;Zoulfa Katouh;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
181;Biblioteca invizibila;Genevieve Cogman;SF;PAPERBACK;312;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1552489297i/44422660.jpg;1.0;2025-03-16;2025-03-16;4.5;
182;Orasul Mascat;Genevieve Cogman;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
183;Carti in flacari;Genevieve Cogman;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
184;Lolita;Vladimir Nabokov;romance;PAPERBACK;376;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1590093359i/9216051.jpg;1.0;2025-01-26;2025-02-04;1.0;just no
185;Dance of Thieves;Mary E. Pearson;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
